title,house_type,price,size,construction_costs
Dom w kruszczykach,jednorodzinny parterowy,2840,77,146000
Dom w kosaćcach (NA),jednorodzinny parterowy,3060,65,148500
Dom w sasankach,"jednorodzinny z poddaszem, ze stropem teriva",3060,80,149100
Dom w kruszczykach 2,jednorodzinny parterowy,2840,57,150500
Dom w bukszpanach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,82,151900
Dom w murajach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,81,152800
Dom - Miniaturka,jednorodzinny z poddaszem,3060,90,153000
Dom w borówkach (N),jednorodzinny z poddaszem,3060,82,154200
Dom w everniach 3,jednorodzinny z poddaszem,3370,74,154900
Dom w zielistkach 2,jednorodzinny z poddaszem,3370,67,155000
Dom w zielistkach 2 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,93,156300
Dom w kosmosach,jednorodzinny z poddaszem,3370,102,157000
Dom w poziomkach 3,jednorodzinny z poddaszem,3370,89,157300
Dom w rododendronach 28,jednorodzinny z poddaszem,3370,89,158200
Dom w jeżynach 2,jednorodzinny parterowy,3060,84,159600
Dom w riveach 14,jednorodzinny z poddaszem,3370,89,160400
Dom w stokrotkach 4,jednorodzinny z poddaszem,3370,92,162000
Dom w brusznicach,jednorodzinny z poddaszem,3370,87,162200
Dom w rododendronach 11,jednorodzinny z poddaszem,3060,90,162600
Dom w riveach 11,jednorodzinny z poddaszem,3370,96,162600
Dom w sasankach 7,jednorodzinny z poddaszem,3370,68,163600
Dom w brusznicach 2,jednorodzinny z poddaszem,3370,73,163600
Dom w zielistkach (E),jednorodzinny z poddaszem,3570,82,164200
Dom w sasankach,"jednorodzinny z poddaszem, ze stropem teriva",3060,80,149100
Dom w kruszczykach 2,jednorodzinny parterowy,2840,57,150500
Dom w bukszpanach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,82,151900
Dom w murajach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,81,152800
Dom - Miniaturka,jednorodzinny z poddaszem,3060,90,153000
Dom w borówkach (N),jednorodzinny z poddaszem,3060,82,154200
Dom w everniach 3,jednorodzinny z poddaszem,3370,74,154900
Dom w zielistkach 2,jednorodzinny z poddaszem,3370,67,155000
Dom w zielistkach 2 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,93,156300
Dom w kosmosach,jednorodzinny z poddaszem,3370,102,157000
Dom w poziomkach 3,jednorodzinny z poddaszem,3370,89,157300
Dom w rododendronach 28,jednorodzinny z poddaszem,3370,89,158200
Dom w jeżynach 2,jednorodzinny parterowy,3060,84,159600
Dom w riveach 14,jednorodzinny z poddaszem,3370,89,160400
Dom w stokrotkach 4,jednorodzinny z poddaszem,3370,92,162000
Dom w brusznicach,jednorodzinny z poddaszem,3370,87,162200
Dom w rododendronach 11,jednorodzinny z poddaszem,3060,90,162600
Dom w riveach 11,jednorodzinny z poddaszem,3370,96,162600
Dom w sasankach 7,jednorodzinny z poddaszem,3370,68,163600
Dom w brusznicach 2,jednorodzinny z poddaszem,3370,73,163600
Dom w zielistkach (E),jednorodzinny z poddaszem,3570,82,164200
Dom w zielistkach 23,jednorodzinny z poddaszem,3370,100,164600
Dom w bukszpanach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3060,86,165400
Dom w cedralach,jednorodzinny parterowy,3060,72,165900
Dom w trytomach 2,jednorodzinny z poddaszem,3370,110,166200
Dom w jagodach (PD),jednorodzinny z poddaszem,3060,79,166500
Dom w zielistkach (T),jednorodzinny z poddaszem,3370,97,169100
Dom w ribesach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,89,170000
Dom w kruszczykach 3 (A),jednorodzinny parterowy,2840,100,170900
Domek letniskowy w cienistkach,Domek letniskowy z poddaszem,3060,84,171000
Dom w kosaćcach,jednorodzinny parterowy,3060,94,171200
Dom w zielistkach 20,jednorodzinny z poddaszem,3370,110,171200
Dom w czereśniach 2,jednorodzinny parterowy,2840,74,171700
Dom w winogronach 7,jednorodzinny z poddaszem,3060,84,172300
Dom na wzgórzu,jednorodzinny z poddaszem,3370,94,172900
Dom w motylkach 3,jednorodzinny z poddaszem,3370,65,174200
Dom w porzeczkach 2,jednorodzinny parterowy,2840,74,174300
Dom w kosaćcach 2,jednorodzinny parterowy,3370,84,174300
Dom w arkadiach 5,jednorodzinny z poddaszem,3370,89,175000
Dom w manuce,jednorodzinny z poddaszem,3370,93,175200
Dom w rododendronach 11 (N),jednorodzinny z poddaszem,3370,60,175300
Dom w arkadiach 2,jednorodzinny z poddaszem,3370,79,175400
Dom w zielistkach 23,jednorodzinny z poddaszem,3370,100,164600
Dom w bukszpanach (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3060,86,165400
Dom w cedralach,jednorodzinny parterowy,3060,72,165900
Dom w trytomach 2,jednorodzinny z poddaszem,3370,110,166200
Dom w jagodach (PD),jednorodzinny z poddaszem,3060,79,166500
Dom w zielistkach (T),jednorodzinny z poddaszem,3370,97,169100
Dom w ribesach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,89,170000
Dom w kruszczykach 3 (A),jednorodzinny parterowy,2840,100,170900
Domek letniskowy w cienistkach,Domek letniskowy z poddaszem,3060,84,171000
Dom w kosaćcach,jednorodzinny parterowy,3060,94,171200
Dom w zielistkach 20,jednorodzinny z poddaszem,3370,110,171200
Dom w czereśniach 2,jednorodzinny parterowy,2840,74,171700
Dom w winogronach 7,jednorodzinny z poddaszem,3060,84,172300
Dom na wzgórzu,jednorodzinny z poddaszem,3370,94,172900
Dom w motylkach 3,jednorodzinny z poddaszem,3370,65,174200
Dom w porzeczkach 2,jednorodzinny parterowy,2840,74,174300
Dom w kosaćcach 2,jednorodzinny parterowy,3370,84,174300
